xuhao,id,title,author,abstract,keywords,perio,juanhao,issn,read_url,pdf_url,content,original_url
1,XXDJ201901009,高校学生会组织力建设探究,李华龙,"高校学生会是党领导下的学生群众组织,具有自我教育、自我管理、自我服务的功能作用。进入新时代,高校学生会在发展过程中面临着新的挑战,加强组织力建设必不可少。高校学生会应从加强政治建设、组织体系建设、学生干部队伍建设、工作平台建设等方面入手,提升学生会组织力建设质量,推动学生会改革创新发展。 ","高校学生会;
                   组织力;
                   维度;",学校党建与思想教育,2019年01期,1007-5968,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=XXDJ201901009&uid=,"http://kns.cnki.net/kns/download.aspx?filename=C90Y3cmeu9CdPxmRrEHcRl2KWVzdhRjdullTCVFMZhFerJjSkRHWuBTMWFlQqVXUGp0Z2A1dQplSJlGSDJjWJNDaVtUdlFWaNRjc4o1QTp3N05kazl1bUxUM6RFcPl2KLRkVMFVOtFkcu9yUrpXYzU0Zs1GW0oGN&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=XXDJ201901009
2,ZGQL201811014,高校学生会干部身份符号的自我塑造,董磊明 李柯涵 李欣灿,"高校学生会""形式主义化""""官僚化""的现象实际上是学生会干部对自身身份的过度强调与自我符号化。学生会兼具自治性与官方性的组织结构、学生会指导教师扩展科层结构的需要以及学生群体获得自我完成感的期望,共同催生了学生会干部自塑身份符号的行动。但是学生会干部陷入恶性循环的自我符号化后,既难以达成为学生会组织树立权威的目标,也不利于学生个体的成长发展和学生群体的合作共治。 ","学生会;
                   身份符号;
                   符号自我完成;",中国青年研究,2018年11期,1002-9931,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=ZGQL201811014&uid=,"http://kns.cnki.net/kns/download.aspx?filename=Z9CZQ1EVBdWbH9UbK52LBVjTq52NyF1Q0N2ZRRVYudGayBTUxhXT0UlS0lWYw9kTax2ZvY3QJhEdlhVdx9SRuRld210NWR2MWRFeCJkUTN1c3Q0KFV1NpFUd4l1ctdUeuxkThVHU2l1MIdHSkRESnF0Z2s2U08mQ&tablename=CJFDLAST2018&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=ZGQL201811014
3,JSDX2018S1065,以触点管理为出发点  探索团学工作新模式——“互联网+”学院SOP管理探索,张藜山 吴洪霞 蔡文仪,"作为学生自主管理组织的团总支、学生会在学生日常管理、文化建设和活动开展方面发挥着重要作用。四川科技职业学院""互联网+""学院团总支、学生会也面临着提高学生干部素质,提升服务质量的要求。经过一年时间的探索、创新,""互联网+""学院团总支、学生会干部将平时在课本上学到的管理学知识融入到了团学工作的实际中,创造性的将触点管理和SOP管理体系引入到工作中。现阶段的大学生已经越来越重视自己实践平台的质量。实践平台质量的提高,势必要改变过去团学会那种粗放式的管理方式,引进新的管理理念已势在必行。 ","团队建设;
                   触点管理;
                   SOP;",吉首大学学报(社会科学版),2018年S1期,1007-4074,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=JSDX2018S1065&uid=,"http://kns.cnki.net/kns/download.aspx?filename=4JkbuFnc3EXQ48SQHJVT4xWQPVER5MDazZ1dPlHTz8EWJllN5NTS592a3M3RxV0KPVEdYJlZKxGThNnQ3VFM49yQppnRwkFZiNDbCd2K0knMt50Q3lTcwFjSPVnQGFmcTFlN4c3NPJ2RBR2N1VzVIFkRmV0N50mc&tablename=CJFDLAST2018&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=JSDX2018S1065
4,LXGZ201802011,钱素君:中国第一位会计学女教授,涂苏中,"<正>钱素君(1897-1991),女,上海人,知名会计学者,中国最早留学海外学习会计学的女性之一,第一位会计学女教授。历任暨南大学商学院教授兼代理院长,立信会计专科学校教授兼教务主任;1980年10月任立信会计专科学校校务委员会委员,1981年任上海市文史馆馆员。钱素君与张蕙生是上海爱国女中的同学,她们中学毕业后同在寰球中国学生会附属学校任教,1920年一同赴美,在加利福尼亚大 ",,会计与经济研究,2018年02期,1009-6701,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=LXGZ201802011&uid=,"http://kns.cnki.net/kns/download.aspx?filename=BNXSUJnSnZVS5N0M1J2dFVEd1cTWNxEazJkU3cHZG10Z0Y0Q3I3bKtGcRpnQLdFe0l3VOVkTlBFdWVWelNWWOBnS4Zlb1lTTQpkMJFEVDJDbrhVSHFGbZ9SevBTb2dGRL5mWGdjUGpGV5d2LsRkY3EVdt1mQH90R&tablename=CJFDLAST2018&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=LXGZ201802011
5,QING201706003,高校学生权益服务组织的发展现状及困境,吴海江 徐伟轩 桑伟林,"权益服务组织作为学生会的新兴部门,近年来在我国高等院校中发展迅速。权益服务也以""维护学生权益、反映学生诉求""的价值理念和""聚拢—传递—反馈""的表达机制日益受到团学组织与高校学生的关注与期待。然而,当前权益服务组织也普遍面临角色定位冲突或矛盾、组织活动形式化和失范性、信息传递功能弱化的困境。权益服务组织困境的形成与发展离不开组织自身、青年学生和校部机关等多重主体的原因,这也表现出解决高校权益服务组织的发展困境,完善学生权益表达机制既是需要高校职能部门、团学组织和广大学生共同参与的系统性工程,是当前团学组织改革与高校治理现代化的重要突破口。 ","权益服务;
                   学生组织;
                   高校;
                   学生;",当代青年研究,2017年06期,1006-1789,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=QING201706003&uid=,"http://kns.cnki.net/kns/download.aspx?filename=vdVRxMUeSR1MHt0T142drBDOUllSsxEU2YlSy8CTxI2Q5EDWD9URsllVsZDSWhkYzEmcp5WVJd3Qo92Tu9UYrp1M3EmTxNHbqFmcYVVRKlTbL92aulWNMFURZZET0UWSGVmbOZVSvwGd512LpNGM1JEU1oUNwgVb&tablename=CJFDLAST2018&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=QING201706003
6,LISI201709005,师生冲突与南北博弈——1926年同济大学“誓约书”风潮再探讨,尚季芳 靳帅,"1926年同济""誓约书""风潮,虽有相关记载和论述,但史实并不清晰,且在革命史观的影响下持论片面。揆诸史实,引发同济风潮的诱因,实为倡导""公民教育""的江苏省教育会与宣教""党化教育""的国民党之间的抵牾所致。同济学生在事件中表现出来的""亚文化""特质是学潮持续的重要动力,也是学生与政党结援的重要因素。同济""誓约书""风潮亦是政党""运动""学生与学生""利用""政党的一个典型案例。江苏省教育会同人倡导""公民教育"",试图抵制政党入侵,保持其对苏沪教育的控制权。但是随着北伐声威波及苏沪,国家机器深入地方,江苏省教育会首当其冲,最终消亡。 ","江苏省教育会;
                   阮尚介;
                   同济大学;
                   党化教育;
                   国进民退;",历史教学(下半月刊),2017年09期,0457-6241,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=LISI201709005&uid=,"http://kns.cnki.net/kns/download.aspx?filename=29WOr9SZ1U0SwEHTPN3UUt2TwNTYyZ2UmV1alh1TaVTexYUYHVlaqdXQYhjNJtyS18mc3MHVmdEZyNFbYJTSsRzanNEW1Jka34WM2VXYtdjamhzRmFVOuB3NUpnTQdkQ3B1a1pme1c0KrAlSwdFWPFjd5REUOtiW&tablename=CJFDLAST2017&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=LISI201709005
7,XXDJ201716025,大思政背景下对高校学生代表大会制度的思考,封华,"高校学生代表大会制度是思政工作的有效载体,是践行社会主义核心价值观的客观要求。高校学生代表大会应该紧密联系学生,让学生真正参与到学生代表大会中来。针对目前学生代表大会存在的问题,要在高校中普及学生代表大会的知识,让学生从思想上认知、理解其重要性,让学生更重视代表选拔过程,规范选拔流程、大会召开流程,推进常代会制度,让学生会更好地服务学生。 ","大思政;
                   高校;
                   学生代表大会;
                   学联改革;",学校党建与思想教育,2017年16期,1007-5968,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=XXDJ201716025&uid=,"http://kns.cnki.net/kns/download.aspx?filename=z5Wc5UGTLhlNrlGVJJ1NUpmNxN0QZxURtNzKBNlWRJzMOlXdBl0NChnMl1Ga3JFZmF2d3ZFb5ZkUY1USEhkVCFVUShDZwtEc3JWdvk2QKpEVrcUTyEEUHZzbvpka4EUcwsEevoVQ00EZOtmVOx0KolVbDRFWLhUZ&tablename=CJFDLAST2017&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=XXDJ201716025
8,GMDA201702013,民国基层社会政治秩序的建构与认同危机——以学生自治会研究为中心,陈明胜 任德新,"学生自治会诞生于民初。在民国时期,它经历了一个从""自由放任""到""基本认同国民政府""再到""走向国民政府对立面""的过程,从无秩序到有秩序再到""无秩序"",这一循环过程显示了秩序建构与认同之间的特殊关系。从政治学的理论出发,政治秩序是否有效,关键要看民众的认同,国民政府对学生自治会整合的失败,根源就在于过于迷信强力整合,而忽视了认同问题。进而论之,欲建构有效的政治秩序,首先要符合国情民意。 ","国民政府;
                   基层社会;
                   政治秩序;
                   认同危机;
                   学生自治会;",民国档案,2017年02期,1000-4491,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=GMDA201702013&uid=,"http://kns.cnki.net/kns/download.aspx?filename=uBnYW1ETKtCMvUDT5hkRwcleLRHZK9mYjh2LnRmWTlnNr8SO4NFZ1F2aFt0drZ1T4M3awg2a1hnTFd0YrgURWpkYNhzcFhDZPdHSyoUU5gHOrkVNqhldvhXW280LCBHZ18CZw8CN3NWRER0QNZlWaRHNWlUbyETa&tablename=CJFDLAST2017&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=GMDA201702013
9,TYWS201705039,1909-1920年《留美学生月报》中的体育报道述要,邵珠彬 周亚婷 浦义俊,"运用文献资料法、逻辑分析法等,对1909-1920年中国留美学生会机关刊物《留美学生月报》中的体育报道内容进行整理、分类。主要结论:《留美学生月报》中的体育报道内容包括留美学生会年会上的体育报道、女子体育研究、球队交流访问、童子军、俱乐部新闻、远东运动会等。《留美学生月报》对于研究中国近代留美学生的体育生活具有重要史料价值。 ","体育史;
                   《留美学生月报》;
                   体育报道;
                   1909-1920年;",体育文化导刊,2017年05期,1671-1572,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=TYWS201705039&uid=,"http://kns.cnki.net/kns/download.aspx?filename=Hh0NuZFRPhTR2UFb1JDTBdzZC9kNrR3VoVDcBRlTNh0Z400cERlYhlTNvp1YRZ0ZmhTQ6RkV2lWWCJWajtSbmFWSWNzSIdkS3VnTKJ1bv9mZ25mexplSwIlcJpUV5U1Y6ZEZqxkZjFGeZNFTtt0N4BDbKRmRllja&tablename=CJFDLAST2017&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=TYWS201705039
10,ZGDS201702004,无形与有形:中共早期“党团”研究,马思宇,"1921年至1927年是中共从研究小团体向群众性政党跨越的重要时期,而连接中共与群众的""党团""机制是其中关键。中共和青年团既可派人秘密渗透到各群众团体,不引人注意,潜移默化地扩大党的影响,以有形化无形;""党团""通过组织、宣传、外联等途径渗透、整合、掌控群众团体,掀起群众运动的洪波,化无形为有形。同时,""党团""活动受主客观的因素的影响,出现行动个人化,组织上层化,宣传激进化,随时局好坏而起伏不定等问题。""党团""机制在不断矫正纠偏的过程中得以发展、完善,成为中共政党体系之中有力且独特的组织机制。 ","中共;
                   党团;
                   群众运动;",中共党史研究,2017年02期,1003-3815,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=ZGDS201702004&uid=,"http://kns.cnki.net/kns/download.aspx?filename=rIVRvoma2Q2StRGT0wkZRpUQq1UZq5GVrAXOqRDMJtCetl3YDNXczk0UU9WQMFFZ59CNBVkW0lERMtEcrcmTs1mUXZkSydXbWpEdNpnNipXZ6F2VQB3Typ1Rj52TsBFOzoENhhzLClGe05Wb3cEZxh1V5g0aXhVN&tablename=CJFDLAST2017&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=ZGDS201702004
