xuhao,id,title,author,abstract,keywords,perio,juanhao,issn,read_url,pdf_url,content,original_url
1,XXDJ201907029,改革开放以来高校思想政治工作队伍建设的历程及基本经验,孙永祥,"改革开放40年来,我国高校思想政治工作队伍经历了一个探索、停滞和步入正规化的曲折发展过程,经历了恢复发展期、提高发展期、规范发展期和创新发展期四个阶段。在这漫长而不平凡的阶段中,我们得到了两个经验"":又红又专""——高校思想政治工作队伍建设的标准;双管齐下——高校思想政治工作队伍建设的规模与质量。 ","改革开放;
                   高校;
                   思想政治工作队伍;
                   发展历程;
                   经验总结;",学校党建与思想教育,2019年07期,1007-5968,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=XXDJ201907029&uid=,"http://kns.cnki.net/kns/download.aspx?filename=SbYZzSH9EN550K30ESEplb2B1M5BXYYdka4YjcPRGUXdTdIZDVxI2dy4UQ1YnNyQXaxZmQuN3dpZkd=0zYDB3MoNzcqdlZy42NvMUargVMoJ2Z5A3cpd0SYhTcN5UbSNETT5mZPNzMV12dLpnaCJmNnxGRn9&tablename=CJFDTEMP&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=XXDJ201907029
2,JXGJ201902016,公平价值的引领:从免费到公费的师范生教育,沈红宇 蔡明山,"为了推动优秀师范生的培养,我国持续11年实行了免费教育优惠政策:在读免费、就业保障、简化读研。从免费师范生教育到公费师范生教育,一定程度上消解了城市与农村之间的教育不公平、社会观念对师范生的不公平以及师范生与非师范生之间的不公平,体现了我国教育公平价值的实践和发展。但地方经费不能保证地方公费师范生政策的有效实施,""简化读研""降低了研究生培养的要求,""不准报考研究生""和强制服务制度也阻碍了公费师范生的发展,反映出师范生公费教育政策仍然存在不公平的问题。公费师范生教育应拓宽资金渠道,逐步增加地方公费师范生培养经费;健全培养和监督制度,进一步提升公费师范生的培养质量;改革教师用人机制,切实提高教师的社会地位和经济待遇,弥补公费师范生教育在公平性上的不足。 ","师范生;
                   教师队伍建设;
                   公费教育;
                   教育政策;
                   教育公平;",大学教育科学,2019年02期,1672-0717,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=JXGJ201902016&uid=,"http://kns.cnki.net/kns/download.aspx?filename=kRqRTWyY3MyITOrZWM59EdQlVM5lkWJ9WOqdHUyVHUqxke3gVTKV0RzNzZ1gVOIRnS6d0TKJVRDhVT=0TVHRVRjV0S4YjZZVTWx0GM0dGdG52V3VnRJhjTElEeu9SeJ9SUOJ0LrQVUOJUTL5GOCxEdEZVWNp&tablename=CJFDTEMP&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=JXGJ201902016
3,XDYC201902003,新中国成立70年乡村教育研究回顾与思考,欧阳修俊,"中国乡村教育70年风雨兼程,研究成果丰硕,回顾这一历程旨在为中国乡村教育未来研究提供必要的知识图谱。新中国成立70年来,乡村教育研究经历了慢步摸索时期、稳步积淀时期和阔步发展时期三个发展阶段。中国乡村教育的研究主题涉及民国乡村教育经验、乡村教育变迁逻辑、乡村教育的根本问题、乡村教育的价值取向、乡村教育的文化使命、乡村教育的发展策略、乡村教育的经费投入、乡村学校课程与教学改革、乡村教师专业发展、乡村教育与乡村社会发展等10个方面。70年探索明晰了中国乡村教育的理论内核,触碰到了实践问题,有效促进了乡村社会发展。然而中国乡村教育研究也凸显出""呐喊""富于""实践"",""回顾""多于""创造"",""离农""僭于""为农"",""教育研究""长于""乡村研究""等暂时性问题。新时代中国乡村教育研究要立足中国特色社会主义乡村振兴战略,积极开展自然与人文共生的乡村教育价值选择研究,推进互联网+乡村教育振兴的发展策略研究,推行新时代乡村教育振兴实验,深入城乡教育一体化的未来发展模式研究等。以此,推动新时代乡村教育振兴,进一步促进乡村教育均衡、充分发展。 ","新中国70年;
                   乡村教育振兴;
                   乡村教育研究;
                   理论发展;
                   知识图谱;",现代远程教育研究,2019年02期,1009-5195,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=XDYC201902003&uid=,"http://kns.cnki.net/kns/download.aspx?filename=45Edvg1awJXO4pVd2x2MX1Ecip0bi5kThJGVTxERwQ2RiNmRlV1YrgGNvJmSyR1MNR3SHNkYqBnSFN2dRZTcFBlZSdmcZl3SURjVrFXZqh2NK5Wa0gkd5smSxUma2I3T0Q1bDR2bhZnYwZlVx8ETsdXSHdHV6pVa&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=XDYC201902003
4,YSJG201902010,研究型大学师资队伍建设三题,庞青山 李望梅 蓝清华 黄健柏,"高水平的师资队伍是建设一流大学的重要引擎,理清研究型大学师资队伍建设的一些问题对建设世界一流大学和一流学科具有重要意义。世界一流大学运用大师成就大学、师资管理观念匹配办学理念、用一流人才吸引一流的人等观念构建师资队伍结构;在将学术型博士作为基本入职条件的基础上,注重博士学位的""含金量"",教学人员与非教学人员比例合理,专业化的管理人员为占比较少的教师服务;一流大学的师资招聘具有复杂、公开、程序化的特点,教师考核体现大学共治原则,重视校外中立第三方,多层面协同促进教师发展。 ","研究型大学;
                   世界一流大学;
                   师资队伍;
                   师资管理理念;
                   师资结构;
                   师资引留;
                   教师发展;",现代大学教育,2019年02期,1671-1610,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=YSJG201902010&uid=,"http://kns.cnki.net/kns/download.aspx?filename=URspEO2MURxoXYvVlbrg3dxFVbCF1b1RkUQlXRk1ESUtWYrZDNUFmQHtEMS50MQllMR1kSkJETYRGc=0TSSpVQa5EatJTVUtSTmVFU1NkYnlWRw40LMBFSR1kd2RXYIh0b25kNzQGSB5USpZjWKZne4xWeVF&tablename=CJFDTEMP&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=YSJG201902010
5,JYYJ201903008,2018中国教育研究前沿与热点问题年度报告,本刊编辑部,"<正>2018年召开了新时代第一次全国教育大会,迎来了改革开放40周年。教育界深入学习贯彻全国教育大会精神,系统总结改革开放40年教育改革发展的成就和经验,持续跟踪教育领域前沿与热点问题,形成了若干新的教育理论成果。一、习近平总书记关于教育的重要论述发展和丰富了中国特色社会主义教育理论体系2018年9月10日,党中央召开了新时代第一次全国教育大会,习近平总书记出席大会并发表重要讲话,深刻总结了党的十八大 ",,教育研究,2019年03期,1002-5731,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=JYYJ201903008&uid=,"http://kns.cnki.net/kns/download.aspx?filename=WMyJjM2c2Uv80QmFDUPBHNv8GMsRHdGZGM4N1NPtUTHV3ZGVUWaRnYnZTYHlHaycXbrskSCxUbnlUT=0TU4JlUnh0Nz5GUEp0LFpkVtREb4Z1VxkXW6BHUXxEbod0LYRVNBZDb4I3ZCJTOmdUdtxUbK1mdrV&tablename=CJFDTEMP&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=JYYJ201903008
6,JYYJ201903009,教育学研究的热点与未来展望——对2018年度人大复印报刊资料《教育学》转载论文的分析,宣小红 史保杰,"通过对2018年度人大复印报刊资料《教育学》转载论文的统计分析可以看出,文章来源较为广泛,在被全文转载的文章中,其源杂志所占篇目较多的依次为《教育研究》、《教育发展研究》、《全球教育展望》等。从第一作者所属单位性质看,高校仍然处于绝对主体地位。教育学研究的热点与重点在教育基本理论、教育改革与发展、教育与经济、教育科研、德育、课程与教学、教育技术、教师教育、教育史、比较教育等领域都有所体现。新时代中国特色社会主义教育思想、新中国成立70周年教育研究的回顾与反思、德智体美劳全面培养教育体系、人工智能与教育、教育评价、教师队伍建设、区域教育协同发展战略、国际教育等是教育学研究的未来走向。 ","教育学研究;
                   热点与重点;
                   人大复印报刊资料《教育学》;
                   论文转载;",教育研究,2019年03期,1002-5731,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=JYYJ201903009&uid=,"http://kns.cnki.net/kns/download.aspx?filename=3QrpkaZRHTn92QNV0crYFbDB3VwgESKVDVCN2YHhWMJ9mWNVTWWBFOxYER0Ulc1g0SRRHUlNndCFGZ=0zcHZVTmxkZw0EOxlWb1EVN2dTO5Z2cs5mWNtkUrtUTmJWamNEUCRHcEFFTwYWVB12V3RlaXhGeBZ&tablename=CJFDTEMP&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=JYYJ201903009
7,GDSZ201902002,新时代基础教育教师队伍建设的目标、内容与路径——基于《中国教育现代化2035》教师队伍建设内容的分析,荀渊,"2019年2月颁布的《中国教育现代化2035》将""建设高素质专业化创新型教师队伍""确定为教育现代化的十大战略任务之一,而且将之视为推进教育现代化、建设社会主义教育强国的重要支撑。分析《中国教育现代化2035》政策文本发现:基础教育教师队伍建设目标是习近平总书记关于教师队伍建设重要论述的具体体现,是社会主义教育强国建设中基础教育对教师队伍建设的具体要求。高素质专业化创新型教师队伍建设的核心内容是培养师德为先的""四有""好教师,关键路径是建立教师教育体系与专业制度体系,提高教师社会地位则是有效的保障。在深刻领会习近平总书记关于教师队伍建设的重要论述基础上,本文就新时代教师队伍建设提出了相应的政策建议与意见。 ","新时代教师队伍建设;
                   政策;
                   教育现代化;",教师教育研究,2019年02期,1672-5905,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=GDSZ201902002&uid=,"http://kns.cnki.net/kns/download.aspx?filename=KRUdRFUYyQTewVXQzMjU1EkRRRkc0FHThZTOuRVMHhlYzVDbMtiaRZUdYFWaDFGV5MHMJhFT1x2Rn1mbMJnRZ9iWPZ3SpJGOxI0ZNlmUINFOwwWN3F2KvhXW6lzZI90V4RENjNTerxGbrBFcXFlbzwkeylnZHhFV&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=GDSZ201902002
8,GJXZ201903007,加强高校教师队伍建设的关键任务和路径探析,景安磊 周海涛,"教师队伍是实现高等教育内涵式发展的第一资源,是新时期高校转型发展的依靠力量。坚持把教师队伍建设作为高等教育改革发展的基础工作,是新时代新形势下对高校教师地位和作用的新思考新定位。新时期加强高校教师队伍建设需要更加凸显师德师风建设、提升专业素质能力、深化管理制度改革、建立分类评价体系、提高地位待遇保障。 ","高校教师;
                   队伍建设;
                   任务和思路;",国家教育行政学院学报,2019年03期,1672-4038,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=GJXZ201903007&uid=,"http://kns.cnki.net/kns/download.aspx?filename=Sx0Z4g3NTFGMkRFTjRlaMZncDZVMwhmb3t2YOdTZSVTNFdXOqBzNwQ0TENmcyl3dx10KvcFa4JnaaVlQBF2b0RDWqhnc0oEaMhGbLlnN5gkUK5kUvhkYrkmM3hmSrAjZa9UOohGWnZ1R0UVSsN2dFF0bQZGZ0Ema&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=GJXZ201903007
9,QHDJ201901018,改革开放40年我国教师政策的变迁历程、主要特征与发展前瞻——基于政策工具理论视角的文本计量研究,李廷洲 吴晶 王秋华,"改革开放以来,我国国家层面出台351件教师政策,初步形成促进教师队伍建设的政策体系。从政策工具理论的分析视角出发,采用文本计量的研究方法,发现改革开放40年的教师政策变迁经历了5个阶段,即1978-1985年的恢复调整阶段,政策供给主题是建章立制;1986-1992年的厚植基础阶段,主题是确保教师胜任;1993-2011年的内涵建设阶段,主题是质量提升;2012-2017年的全面提升阶段,主题是体系构建;2018年以后,教师政策发展进入新时代。政策变迁的过程中,政策体系趋于完备,初步形成促进教师队伍建设的制度基础设施;发文主体层级和政策的权威性不断增强;发文主体日趋多元,政策协同性不断增强;教师质量成为愈发重要的政策议题;命令性政策工具的使用存在过溢的倾向。政策变迁的未来发展表现出四种趋势:一是继续深化体制机制改革,破解教师队伍建设的深层制约;二是加强待遇保障、教师权利方面的政策供给;三是教师政策执行有更强的组织保障;四是进一步确立教师优先发展的战略地位。 ","改革开放;
                   教师政策;
                   政策工具;
                   文本计量;",清华大学教育研究,2019年01期,1001-4519,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=QHDJ201901018&uid=,"http://kns.cnki.net/kns/download.aspx?filename=shGdWJTcSllZsdkTrllaBVFMrIkdQRXc2tWcwhTaClVN3ZDdxsiUst2QllGOSZUdrBDORl2b0pmZP9EVGhXemRzKCVTUB9UM0kVRYFUOoJ2VlVHRuZjZxcVe0BnaKl3QVFmWZ50ViNVOzdnTRJ3QMpHd3ZHViN2a&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=QHDJ201901018
10,SHGJ201903016,教师法修订调研座谈会在京召开,,"<正>近日,教师法修订调研座谈会在北京师范大学召开。全国人大教科文卫委员会委员、专家学者、一线教师、教育部相关司局代表,共30余人参加了会议。会议认为,教师法颁布25年来对于推动我国教师队伍建设工作起到了极其重要的作用。但是,25年间我国教育发展的形势和教师队伍的状况都发生了巨大的变化,加快推进教育现代化、建设教育强国、办好人民满意的教育都对教师队伍建设提出了新的更高的要求。教师法的部分内容 ",,教育发展研究,2019年03期,1008-3855,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=SHGJ201903016&uid=,"http://kns.cnki.net/kns/download.aspx?filename=DcnVVZxlmY3plYT5kM4k1NxkFZzhjeudjYxcURtJ0anpVUvgFVHVFUm1GVlxUT21kNXBFb1FGUrR0R=0zbCljdVplR3lGZxsiS0hTb3wkdxF0RXRWY0MWbERkV6lXS4ZjRIJkbzZUZMNXMwFGZ2lFevUjMkJ&tablename=CJFDTEMP&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=SHGJ201903016
