xuhao,id,title,author,abstract,keywords,perio,juanhao,issn,read_url,pdf_url,content,original_url
1,LNGD201903010,地方民办教育分类管理新政:现状、难点议题与治理策略——基于25个省(自治区、直辖市)民办教育新政实施意见的文本分析,王慧英 黄元维,"民办教育分类管理制度的确立,留给了省级政府发展区域民办教育的自主空间。全国各地前后出台了促进民办教育发展的""实施意见"",对地方民办教育的发展进行了规划。当前地方民办教育新政区域差异明显,对落实分类管理制度的关键问题:现有民办学校分类登记过渡、民办学校税收优惠、民办学校土地出让与租赁、公共财政扶持民办教育等问题缺乏操作层面的政策设计,分类管理制度的有效落实仍具有一定难度。在营利性与非营利性民办学校的管理政策,规范管理与自主办学的关系和民办学校分类登记制度等关键问题上,既需要地方政府的创新治理,也需要国家相关统筹力的强化。 ","地方政府;
                   民办教育;
                   分类管理;
                   教育治理;",现代教育管理,2019年03期,1674-5485,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=LNGD201903010&uid=,"http://kns.cnki.net/kns/download.aspx?filename=xoEOGh2L54GVoh3Y1YGOMhzMj10c4AnSjZEWEpFaRpXVWNET0J2cMtiNppEduBnRmZlW1AXaLNmbnd2UqF3dmljbwgDOzsyLUpHR2NzNwkGNpVUOKdVZNZDcSVkSlNnYFNGba9EaEticidmbPBjcrMmbIh2QClnR&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=LNGD201903010
2,SCSF201902017,民办学校分类管理推进难点与破解路径,李虔,"民办学校分类管理是我国的重大教育改革举措。在新政落地的关键阶段,识别改革中的新形势、新问题,对于新政实施具有重要价值。调查发现,在举办者办学回报和剩余财产分配、非营利性民办学校扶持和监管、营利性民办学校获取捐助和融资、师生权益保障等四个问题,业界仍存有顾虑。其背后折射出的非营利性民办学校的非营利法人定位与举办者要求获取办学回报和分配剩余财产的矛盾、非营利性民办学校获取政策支持的诉求与扶持措施未完全落地的矛盾、营利性民办学校的营利法人定位与其要求享受更多优惠待遇的矛盾、民办学校师生权益保障的诉求与相关政策供给不足的矛盾,成为制约分类管理推进的四个主要难点。为此,在新政推进过程中,应细化对选择""非营""的举办者的补偿或奖励方案,完善公共财政扶持非营利性民办学校的政策体系,构建营利性民办学校政策支持体系,推进民办学校师生权益保障制度具体化。 ","民办学校;
                   分类管理;
                   推进难点;
                   破解路径;",四川师范大学学报(社会科学版),2019年02期,1000-5315,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=SCSF201902017&uid=,"http://kns.cnki.net/kns/download.aspx?filename=ydDOU52ZzJFSsZ3ZhxEanNTQRd0bpNDNwUUYkhDRslTVTdXO0pHa3QDduZ1S5lWWjNmchBFVpBlWthld3NFaLZHa6RnNzsWbsN1SjJFRKZ1K10UdCNmby8mbWFlbVtGUZdWUaZGW3NHZthVSRl3K5p1VnJlRvNVW&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=SCSF201902017
3,GJTA201903017,改革开放40年我国民办高等教育发展回顾与展望,王真 王华,"改革开放40年来,我国民办高等教育经历了以非学历教育为主体的恢复创建期、扶持与规范并举的高速发展期、探索并确立分类管理的新时期等三个阶段。我国民办高等教育取得巨大成就,得益于国家良好的制度环境、各级政府的大力支持、突出公益性的价值追求以及举办者(及其团队)顺应形势、艰苦创业等。站在新的历史起点,展望未来,党的领导会进一步加强,公益性会更加彰显,法人治理结构会更加健全,办学质量会持续提高,更多高水平民办高校会涌现出来。 ","改革开放;
                   民办高等教育;
                   中国经验;",高教探索,2019年03期,1673-9760,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=GJTA201903017&uid=,"http://kns.cnki.net/kns/download.aspx?filename=TZ2dTO2h3TylmNwFFb1NVV2Y0NPpXU2tUQ1Q3Y4gUTTVVZFZDeLpmTkp0VrsSbsJlV0NmUuhkViNFU=0TVhh1NM1GN4ZWOFJFU1o3cwJGb1NXW2kTNuZHZtdjSvoVcipEZtZ0Z3Q2R3EzNIBFOTNGSnZVZlR&tablename=CJFDTEMP&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=GJTA201903017
4,BJSK201902007,民办高校办学质量研究——对资金筹措四个路径的检视,陈睿腾,"学界认为,民办高校可以通过扩大招生名额、提高学费收入、吸引社会捐赠和获得财政拨款等四个路径筹措资金。但这些路径具有因果关系。学校只有在满足了前一个路径后,才有可能考虑利用后一个路径增加资金收入。扩大招生名额是提高学费的前提,这两条路径又是吸引社会捐赠的前提,政府的财政拨款应该以前三条路径为考量。唯有少数办学质量较高的学校,才有可能通过这些路径增加资金收入。办学质量低下是制约当今民办高校筹措资金、增加收入的根本问题。 ","民办高校;
                   办学质量;
                   筹措资金;",北京社会科学,2019年02期,1002-3054,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=BJSK201902007&uid=,"http://kns.cnki.net/kns/download.aspx?filename=BBzNx8ic5EzYyJVcohjcBhEVzFmRplmTJR0cRlzZBN0N0hnNwwkYEJ1Tr1WWZB3QslkYslEWmFnR4h0QRtkQsFjeCh0QvVjZwdXO1VUYzoGZXxmerVUVTx0MX9kUpJWRiBDbsJ2UER1cilmdXBlZ5lGRHhjULR3b&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=BJSK201902007
5,HFYJ201901008,校园欺凌与青少年的一般信任,洪岩璧 顾一石,"本研究利用南京市中小学生调查数据,探讨了校园欺凌对青少年一般信任水平的影响。简单回归和倾向值匹配分析结果显示,家庭客观社会经济条件对青少年一般信任水平没有显著影响,而遭受欺凌、看到学校不良行为发生的频率都对其一般信任有显著负效应。同时,在中小学生中,男性、低年级、成绩较差、家庭经济条件较差的学生,普通公立学校学生和看到校园不良行为频发的学生,更有可能遭受校园欺凌。这值得相关社会行动者关注,提供社会支持。加强校园监管,减少校园欺凌,有利于提升青少年的一般信任。 ","校园欺凌;
                   青少年;
                   一般信任;",社会发展研究,2019年01期,2095-7580,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=HFYJ201901008&uid=,"http://kns.cnki.net/kns/download.aspx?filename=SxkZHZla0JzcOR2VqNnNLhkVyhDTsVlbFpldiVlb1BHaWRUQlZVb3AnZH1kQ6N0Z4gVQ4omeFxWcDlnZwFkcnNzLvdncnBFZ0BFSXNVe0d0VQ1UTw5kcrM0MX12dLZkTkFzMWllUMVnQNdHS0NTYS5mWRV0Y21Gb&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=HFYJ201901008
6,JYJI201901001,支持和规范社会力量兴办教育的新作为,周海涛 闫丽雯,"新时代支持与规范社会力量兴办教育,开启全面落实民办教育新法新政的新征程,需破除思想认识、政策执行、管理体制、资本活力、内部治理方面的阻滞,凝聚以支持引导规范、以规范争得支持的分类管理改革共识,推动新法新政细化分解、打通政策落地的""最后一公里"",完善放管服结合、协调联动的管理体制,激发民间资本解除顾虑、兴办教育的社会活力,强化健全内部治理、凸显自律的内涵建设。 ","民办教育;
                   分类管理;
                   社会力量;",教育与经济,2019年01期,1003-4870,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=JYJI201901001&uid=,"http://kns.cnki.net/kns/download.aspx?filename=a5kTGF3UtJnTDh3bThjQHd2VDNjamxUbuZjW3BFMDFDcINHa5o3ZrcEMClzd31me4YGZEpkYkl1aJFnSN1Uc1s0RK9mYWp3RpZ3L4s0KGVHMX1Wc4o1dygTRGJmduR0QChUO0JVcuNUVQFEb1xUet5EO3gWY5hXc&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=JYJI201901001
7,GJXZ201902001,改革开放以来中国特色教育政策理论的发展创新,孙霄兵,"改革开放以来我国教育发生了巨大变化,与此同时,在教育改革发展实践中也孕育了中国特色教育政策理论的发展创新。中国特色教育政策理论主要包括教育优先发展理论、受教育权保障理论、学生全面发展理论、现代学校治理理论、政府教育功能理论、教育社会共建理论、教育对外开放理论和人民中心教育理论等八个方面。这些来源于实践的理论,共同构成了中国特色的教育政策理论体系,极大推进了我国教育事业的发展,需要长期坚持,不断实践发展。 ","中国特色;
                   教育理论;
                   实践品格;
                   政策品格;",国家教育行政学院学报,2019年02期,1672-4038,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=GJXZ201902001&uid=,"http://kns.cnki.net/kns/download.aspx?filename=HRFU29GaqJzKrEGMhNEWSRnWnljMBNmU4lHUIRFdJ90TnZUZU9ieshEOzUnUhpWTBlFUSxkUYtmZpJ0QtBna5IWYjVmNwBlc3YEVwlEV4QTd1pEeJZ3bnFjYZNFUa9ic6ZGWXdWT00mT2plbLh1ZwZVduBnUGt0c&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=GJXZ201902001
8,JILI201901018,中国民办高等教育经费政策40年:历程、反思与走向,付强 王玲,"经过改革开放40年来的发展历程,我国已逐步形成了由经费筹集政策、经费使用政策和经费管理政策等构成的较为系统的民办高等教育经费政策体系。与私立高等教育发达国家相比较,我国民办高等教育经费政策体系建设步伐仍显缓慢,还存在着政策体系建设系统性不强、政策取向""重规范轻引导""、多元筹资的政策支持薄弱、公共财政资助政策不明确等问题。为促进我国民办高等教育可持续、快速发展,需完善""民办高校分类管理""制度;健全民办高校多元化筹资体系;强化政府责任,构建差别化资助体系;增强政府财政资助的杠杆功能。 ","民办高等教育;
                   经费政策;",济南大学学报(社会科学版),2019年01期,1671-3842,,"http://kns.cnki.net/kns/download.aspx?filename=JVnNyo3b4ZHMrkHTnxmY2RUOLhmYFdnWxsiTmZTdDVTcwQGOthzSNRlWqZ2VCVEaOJkT1EVS1V3RydlWXp0S3IVTQBzR49WeZZ1R3Z3TrJ3QLBDTyVlVtNHTxwWUNJGRTNza202L0kWRxcTOCtSNjNGZ18EeBNVT&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=JILI201901018
9,ZJYX201901009,改革开放40年我国民办教育发展历程与展望,阙明坤 王华 王慧英,"改革开放40年以来,我国民办教育走过了复苏期、成长期、法制建设期、新法新政期四个阶段。各级各类民办教育呈现不同态势和特点:民办学前教育缓解了""入园难""问题,民办中小学提供了选择性教育服务,民办高校助力了高等教育大众化,民办培训机构促进了学习型社会建设。民办教育40年来的发展积累了丰富经验:党和政府的支持是基本前提,恪守教育公益性是价值遵循,坚持解放思想改革创新是持久动力,坚持依法治教是根本保障。未来一段时期,我国民办教育将在建设教育强国中担当重任,呈现国家主导与地方创新并举的基本格局,政策基调上支持与规范并存。展望未来,非营利性和营利性民办学校将实现分类发展,民办教育发展模式将从外延扩张转向内涵提升,国际化、""互联网+""和人工智能将助推教学变革。 ","民办教育;
                   政策变迁;
                   分类管理;
                   教育展望;",中国教育学刊,2019年01期,1002-4808,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=ZJYX201901009&uid=,"http://kns.cnki.net/kns/download.aspx?filename=tpEVM90Ku1EVMtCd1kHTmpmNmp0U3ZjZr10KYlDRux0TDpFZoVjNJxWb4AVb5IHTkZTTol3cChVTk1meM12S5IHR6h1c3NGMVNVbUBXbDhmYEZ2dNd0RulDeYh0NVF2RalXWnVFUTVEbqhUWuRnREVFRk9WbXFUc&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=ZJYX201901009
10,JSGJ201901011,共同价值引领下的非营利性民办高校有效治理:问题与思路,白峰,"大学的利益相关者有效共同治理必须以共同价值为引领。从治理形式有效性和治理实质有效性两个方面分析,目前我国民办高校治理普遍存在决策权仍由""少数人""把控、决策与资源配置低效等诸多共性问题。非营利性民办高校的有效治理模式构建,须坚定共同治理理念,以共同价值为引领,追求权力配置形式的有效性,落实效率原则下的科学制度安排。 ","共同价值;
                   非营利性民办高校;
                   有效治理;",江苏高教,2019年01期,1003-8418,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=JSGJ201901011&uid=,"http://kns.cnki.net/kns/download.aspx?filename=NNTOiJXdCdHRvs2NitmV1M0UvpWY3JndlB3KqlDMOl2RkhVMSh0NNpVNxlDU4cVS29CTwVGV2VFayJkcKFnN5NXVVpHUKR0TkdldxMUcRZGaUFjaVF3QxwUcEFWYMdTejh1KQ12R11EazwWeERGaFJWZaJ1czwkY&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=JSGJ201901011
