xuhao,id,title,author,abstract,keywords,perio,juanhao,issn,read_url,pdf_url,content,original_url
1,XXDJ201907021,慕课平台下高校思想政治理论课的创新,崔鹏,"当今世界是一个信息化高度发达的时代。互联网技术的日臻成熟让我们的生活变得更加多元而智能。慕课作为互联网技术与现代教育创新结合的一个产物,让高等教育模式悄然发生变化。高校思想政治理论课是传播马克思主义理论的重要阵地、实现高校立德树人根本目标的根本保障,在高等学校教育教学中发挥着重要的作用。慕课教学模式下,原有的高校思想政治理论课将面临前所未有的挑战和发展机遇。坚持立德树人的根本目标,提高高校思想政治理论课的政治性;整合师资优势开设思政课慕课,坚守高校思想政治理论课的趣味性;精准施策对标慕课平台大数据,提升高校思想政治理论课的实效性。这些举措是高校慕课实现变革与创新的现实选择。 ","慕课平台;
                   思想政治理论课;
                   立德树人;
                   大数据;",学校党建与思想教育,2019年07期,1007-5968,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=XXDJ201907021&uid=,"http://kns.cnki.net/kns/download.aspx?filename=Tc29ycspkQQVEdwRDSaVUVQJ3U0wGN5p3VN1Ua3dFSjN3MvZHe0EEWX9EOmJXeKBFSiZXWnNWSzJ3T=0zbHdWdrRnNk9yNyolMmVlcrxUbipnMxQXTWN0b1c1aKpmMwUTVRJGRmdzSk9CWldDUqZjZ0Z0Uyh&tablename=CJFDTEMP&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=XXDJ201907021
2,XXDJ201907020,“金课”视阈下高校思想政治理论课的慕课教学改革及其深化,刘丽敏 郝丽媛,"近几年,慕课在中国高等教育界逐渐流行开来,思想政治理论课的慕课教学改革也随之兴起。经过三个阶段的努力,思政课的慕课体系初步建立,其以信息技术的优势极大地弥补了传统思政课教学的局限与不足。但是,当前的思政课慕课仍然存在质量不高、互动不强等诸多亟须改进的问题,需要对照教育部""金课""的要求和标准,不断改进和深化。 ","思想政治理论课;
                   慕课;
                   教学改革;",学校党建与思想教育,2019年07期,1007-5968,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=XXDJ201907020&uid=,"http://kns.cnki.net/kns/download.aspx?filename=2aLpUcwgTW5kHdNJUajhHNURGR380UZxkdVBVS0clWHt2ZN9kT6BFU5hzbatSNqtyd4YlQGBlQ5p2c=0zY1RVSx8UTilTUvl0dwM0K3ZHa5NXeXllY4NUZPhzaZVjSroGR5AHZhVGRGF2dKJmdlJzaqdVRSV&tablename=CJFDTEMP&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=XXDJ201907020
3,XXDJ201907009,思想政治理论课改革的理性之道,李建华 张响娜,"高校思想政治教育之本在于立德树人,思想政治理论课是学生学习马克思主义理论、树立社会主义核心价值观以及形成良好道德素质的重要教育课程,具有重大影响力和引领力;为适应新时代的课程要求,思想政治理论课领域的改革一直处于探索和纠正时期,产生过良好势头,但也出现了娱乐化、松散化、非课堂化等倾向;高校思想政治理论课改革要回归""思想""""政治""""理论""和""教学"",这才是理性之道。 ","思想政治理论课;
                   教学;
                   改革;",学校党建与思想教育,2019年07期,1007-5968,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=XXDJ201907009&uid=,"http://kns.cnki.net/kns/download.aspx?filename=nYZlGU5oEbvJVM5tWOQl2a0QlY4UXclNDW0gnTwckWQB3Nod2KRB1Up52Z3JDSjdFSj10VCZlZxFlR=0DNzMFS0UkcI9CNxBTVkZnNDZ3Y5ZTNFNTYIhEbXdjNIVzdNt2TidjW1NkU21UalZVTFtkVuBjQhJ&tablename=CJFDTEMP&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=XXDJ201907009
4,JXGJ201902014,高校思想政治理论课青年教师教学发展现状与原因分析,陈爱香 姚利民,"对全国10省市多所高校613名40岁以下思想政治理论课青年教师的调查发现:三分之一以上的教师对其教学发展现状不满意;教学责任意识上,教学育人意识、教学效果改善和教学改进意识强,但对教学重视不够,被动教学多于主动教学;教学知识上,熟悉马克思主义学科知识和社会时政知识,但缺乏教育学专业知识和科学人文知识,各种教学知识满足教学的需求度不高、更新频率不快;教学能力上,分析学情、把握教学目标、取舍组织教学内容、选择教学方法等课前教学设计能力,以及课堂教学活动组织、教学资源呈现、教学语言运用、教学互动等课堂教学实施能力、教学反思目的、反思内容、反思方法等课后教学反思能力既有优势,又存在一定问题;教学实践上,教学实践的合理性不高。问题原因在于:思政课青年教师自主教学发展意识不强、教学理论素养不足、教学实践反思不多和教学学术研究不够、高校教学发展氛围欠浓厚、教学相关制度待完善、教学发展机构不给力和教学培训合理性需加强。 ","教学发展;
                   高校思想政治理论课青年教师;
                   青年教师;
                   高校思想政治理论课;",大学教育科学,2019年02期,1672-0717,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=JXGJ201902014&uid=,"http://kns.cnki.net/kns/download.aspx?filename=WWH1WcrMGbFtCM5dXOF1GUshkTElnRC9GTr1kVyJ0dE9yaygncvkVWQRUdvZDWwp0UFlVc6J2dZNHb=0TRWpWNy0UbsNDSyUncQhWdLRFWzQjVHJlcQhWdHRjbGR0MrJXZDp0UTFFNNh2LvhGe1Y0R5lEUDR&tablename=CJFDTEMP&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=JXGJ201902014
5,SIXI201902012,高校思想政治理论课“课堂革命”与道路认同,刘武根,"培养时代新人全球胜任力,是在中国日益走近世界舞台中央、不断为人类作出新的更大贡献的新时代背景下,从国际视野的维度对培养什么样的时代新人、如何培养时代新人进行前瞻性思考的战略布局。对于高校思想政治理论课来说,培养时代新人全球胜任力是一个新生事物,需掀起""课堂革命"",把道路认同作为培养时代新人全球胜任力之本。 ","高校思想政治理论课;
                   时代新人;
                   全球胜任力;
                   课堂革命;
                   道路认同;",思想教育研究,2019年02期,1002-5707,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=SIXI201902012&uid=,"http://kns.cnki.net/kns/download.aspx?filename=qBnRjJDORpHZ2hXbRZ1ZZpGbvU3NrIDeZBDdzF3bZJzc1tkRxlnY0FFZwlVb1cmZWpUTRl3UZ9UcltGUsFGU3ljdxcDd55mbkhmM4xEUB1EWEtmc2JkdYZDZUlUcvgjZ1I2Sm9kb480RS1WaEN3c5BzRBR2V3YDZ&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=SIXI201902012
6,YJSX201901017,中华优秀传统文化融入高校思政课的思考,黄岩 朱杨莉,"中华优秀传统文化与高校思想政治理论课契合相通,融入具有必要性和可能性。但从实践来看,传统文化融入高校思政课效果欠佳,其主要原因包括大学生对优秀传统文化缺乏深入理解、缺少兼通马克思主义理论与中华优秀传统文化的师资队伍、中华优秀传统文化与高校思政课尚未实现有效衔接,等。中华优秀传统文化有效融入高校思想政治理论课,必须认真选取融入内容,并从提升教师教学能力,创新教学内容,重视实践教学与教学方法等方面入手。 ","优秀传统文化;
                   高校;
                   思政课;
                   融入;",思想政治教育研究,2019年01期,1672-9749,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=YJSX201901017&uid=,"http://kns.cnki.net/kns/download.aspx?filename=upmW2dFePFzKEZVUsRzMygmevEmU3RlZ040LOF3dqp1R3IGexAlevUkeBVDRxgEVVdkYONlWV9EZMVWaaJWVpBjSLFEWZJDNqh1aJ9CW1VDey1Gd2oEUpV1cYhUY1ETUUtCRwZDNrF0MwRTSshGSElnRlhXbmNDc&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=YJSX201901017
7,GXSJ201902045,高校思政课教师的网络舆论“把关人”角色刍议,李嘉莉 马学思,"互联网是新时代高校思政工作面临的最大变量,高校思政课教师不仅要在课堂教学活动中善于运用互联网技术,推动思政课与新媒体的融合,更要从存在论角度看待网络思政工作的重要性,找准定位、发挥优势、提升素养,自觉运用网络传播规律,担当起网络舆论""把关人""的新角色,把互联网这个最大变量转变为思政课改革创新的最大增量。 ","网络舆论;
                   把关人;
                   思政课教师;",思想理论教育导刊,2019年02期,1009-2528,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=GXSJ201902045&uid=,"http://kns.cnki.net/kns/download.aspx?filename=XRXRyF0T5p2bLJUSxdjR4cHNzRVR4Y0c3EUaodXQSJ0LrRUNDdkayInRD9UYEtEN2JneyQnQzJEWRdVTz1mcHZGM38ERaJnTvVjTRN1cCJkaZt2KutCNuZET0dWVWplMSh3Sw1WYv1UVCRUexsibht0ckZ3TmhHe&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=GXSJ201902045
8,XXDJ201902016,基于认知体验的高校思政课“行走课堂”教学范式探究,华正学,"""基于认知体验的高校思政课‘行走课堂’教学范式""是在大规模、长时间的社会实践教学无法实施的条件下,思想政治理论课教学如何做到理论与实践统一、课内与课外结合的一次成功探索。通过让固定单一的课堂教学""行走起来"",让学生利用课余时间到相关红色景点、街道社区或公司企业深入调研体验,结合课堂讲授汇报交流体验到的感知收获,从而使思想政治理论课的课堂教学丰富起来、深刻起来、活跃起来,不失为一个较有成效的教学探索。 ","思想政治理论课教学;
                   教学范式;
                   行走课堂;",学校党建与思想教育,2019年02期,1007-5968,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=XXDJ201902016&uid=,"http://kns.cnki.net/kns/download.aspx?filename=4MUSFRlWYhldsBlWvB3TndUYuF0TLRkNH9kc5MldEZ1ZvhFZGVXRnJ0T2llV1pkWPNWYrhVeRVXaFl2VCFTN5ona1EleoR1NohncXVza6h0aNt0ZQVDeUFXRLJFO5YlS2Q1TyZnRGJVbKBVb44Wc2QFWv1kUwljY&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=XXDJ201902016
9,GXSJ201901045,以习近平新时代中国特色社会主义思想为指导推进“原理”课程专题教学——教育部高校思政课教指委“原理”课分教指委2018年年会综述,张有奎,"<正>2018年12月8日,为深入学习贯彻习近平新时代中国特色社会主义思想和党的十九大精神,深入贯彻落实全国教育大会、全国高校思想政治工作会议精神,切实发挥教指委作用,不断推进思政课教学改革,继续打好提高高校思政课质量和水平的攻坚战,全面推动习近平新时代中国特色社会主义思想进教材进课堂进学生头脑,由教育部高校思政课教学指导委员会主办、教育部高校思政课教指委""原理""课分教指委和厦门大学马克思主义学院联 ","马克思主义基本原理概论;
                   教学;
                   专题;",思想理论教育导刊,2019年01期,1009-2528,,"http://kns.cnki.net/kns/download.aspx?filename=rNlbvkzVTF3K1UjeTtyLQB1Nmt0YOVzboFEdOJzLQZFSFdmVZNVQWNUSQV2bIZVT5VkMIlUcyV0TnNlWDxEbL52ZLdTTxUHcld0RtVnejZXTFhGMlJVMFRUQJhjRM1EOhRFMn9WVHJkV3ZFS34WZ4Uka21WQNVXa&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=GXSJ201901045
10,XSLT201805022,现代信息技术与高校思政课深度融合的异化及其超越,赵庆寺,"虽然现代信息技术推动了高校思政课的重大变革,但也出现了盲目追逐技术装备、过多依赖技术手段、过度沉迷技术景观等异化现象。这种异化现象的出现既受到认识不足、理解偏差和管理滞后等主观因素的影响,也受到技术缺陷、开发能力等客观因素的制约。要想克服异化现象,实现信息技术与高校思政课的深度融合,必须全面提高教师的现代信息技术素养,深入研究高校思政课的基本特点和本质要求,通过教学方法的精细设计,发挥教师的主导性和学生的主体性,实现课程内容与现代信息技术的精准对接,从而提高思政课教学的针对性和实效性。 ","信息技术;
                   高校思政课;
                   思想政治教育;
                   深度融合;",学术论坛,2018年05期,1004-4434,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=XSLT201805022&uid=,"http://kns.cnki.net/kns/download.aspx?filename=mN3RYNVbtFWaLxGS5hkMxklYv8kVRJ2Tsp2V1M2SkBVaHNzN5R0RGpGNJhUVVNmWjFmci5EaP9Ecwh3dMhWdhVXev4kZvYEZ5sydEFzMrpkaaljTSdHMqp1YMdmcV9WU4A1axlWOENUZv90d1lVaGpmQvgHOhRzd&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=XSLT201805022
