xuhao,id,title,author,abstract,keywords,perio,juanhao,issn,read_url,pdf_url,content,original_url
1,ZJYX201904005,人工智能技术对高考改革的影响:分权趋势下的新动力,肖立宏 邢永富 薛海平,"高考制度是围绕高等学校入学机会分配所产生的权力与利益而进行分配的一种制度,本质上是国家权力的体现。高考制度建立之初国家权力相对集中,自20世纪80年代以来,高考改革呈现出从权力集中走向权力分散的特征。人工智能技术的发展促进了学习的高度个性化和评价的多元化,从而进一步推动高考改革的分权。面向未来,高考改革应与人工智能技术实现良性互动、共生发展:人工智能技术助力高考改革理念实现,高考改革为未来人工智能时代提供人才支撑,高考改革与人工智能技术的共生发展离不开国家权力在价值观念上的引领。 ","人工智能;
                   高考改革;
                   集权;
                   分权;",中国教育学刊,2019年04期,1002-4808,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=ZJYX201904005&uid=,"http://kns.cnki.net/kns/download.aspx?filename=2SXVDV2tWRXJUaIZXV3tSN1YXRF92SqtkdrE0ahh3drgUNwYXZtpUOrkVazATej10bPdER5dFetd0b=0zayk1aXZ2TDFDOtlVQadkQrIWV4E2ZCp3cE12UmVjNRRnQ0okakxmVrMWY3hWdzBTc31WMXdGOVt&tablename=CJFDTEMP&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=ZJYX201904005
2,JYKY201904017,语文高考与中学语文教育互动的问题及改进策略研究,黄真金,"<正>语文学科是基础教育中的重要学科,语文教育是提高国民母语素养、提升国家文化软实力、增强文化自信与民族凝聚力的重要渠道。语文高考是衔接基础教育与高等教育的重要纽带,是检验学校、社会和家庭的语文教育成效以及把握学生语文素养的重要手段,同时兼具引导中学语文教学、为高校选拔人才等重要功能,历来备受瞩目。四十余年来,在语文高考与中学语文教育的互动中,我们积累了不少经验。总体上看,随着对学科思想性、工具性和人文性等属性认识的不断加深,语文教育理论与实践研究者对课程目标、内容、方法等的 ",,教育科学研究,2019年04期,1009-718X,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=JYKY201904017&uid=,"http://kns.cnki.net/kns/download.aspx?filename=HVyoUYnFEbPhFUFdDc1cGaO52MqF3akZEOKhlYvgmVQdmYsRnNahUVEVWdjtCbzQ2KRplZYJVaylnU=0TSKlWRLt0RCplQjRUd2kGZTxGez10ZzljaZpWaJRFcMtGdLZHM0djNEl0NywGdzMVOQNUeHBnMQB&tablename=CJFDTEMP&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=JYKY201904017
3,KSYJ201904002,破解“唯分数”加强大学教育与中学教育衔接,管兴华 胡亚杰 谢丹 韩寅奔,"""唯分数""长期制约我国教育事业的健康发展。随着新一轮高考改革全面推进,破解""唯分数""顽瘴痼疾非常必要且任务紧迫。以西北工业大学加强与中学资源共享、引导培养学生专业兴趣、加强爱国主义教育等有效措施为例,提出加强大学教育与中学教育的有机衔接、综合评价学生是破解""唯分数""的有效措施。 ","高考;
                   高校招生;
                   唯分数论;
                   综合评价;",中国考试,2019年04期,1005-8427,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=KSYJ201904002&uid=,"http://kns.cnki.net/kns/download.aspx?filename=2ZjNwxmcDFXTBlDMwwmYmdURmlDWBp1VwFnd4JXZaV1S4R3LoF3KRp1TpJDZQNkZshjexlEd0FncNlUa3ATVaJGVHV0RzdHS5gkbpJTNnNTMLhjRvJkVQRGMhRXWr8kZDBzM2R2RMdWMth2YYhkYndWRmREd6dzd&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=KSYJ201904002
4,ZGGJ201903007,关于新高考选择性问题的思考,边新灿,"新高考物理遇冷引发了社会的关注和热烈讨论,物理遇冷的直接原因是等级赋分,等级赋分的直接原因是选考,实行选考除了高校教育内容专业性、学生智能结构多元性等客观因素和学习迁移原理、学分制理论的依据外,更有文理融通、培养创新人才的现实需求。高考探索选考经历了""高中会考基础上体现选择性""""新课改高考体现选择性""和""新高考扩大选择性""三个阶段。出发点是在选拔环节体现素质教育的美好愿望,但素质教育的理想遭遇功利应试的惯性,使选考的功能发生异化。功利应试既有优质教育资源稀缺的客观因素,又有公平和效益难以完美兼顾的制度设计因素和集体文化心理积淀的支撑,短期难以消除。要全面认识制约高考改革的多种因素,把握好共同基础和专业性向、理想目标和现实条件、改革力度和速度、个人选择和国家需要及学校需求的关系,循序渐进、积极稳妥地推进改革。 ","新高考改革;
                   物理遇冷;
                   选择性;
                   应试教育;",中国高教研究,2019年03期,1004-3667,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=ZGGJ201903007&uid=,"http://kns.cnki.net/kns/download.aspx?filename=GxUQGVWZGRGVLJXTsdWQLRUMrBncy4WQql2LsJXUTNDdDhEcZdTcmBlYhBXY3FDcmV1LTBXe0plYphnVv0WOBx2M2ZUbIZUbBFGZvkjMxJHU0s0YzI1QzUWWKtmY0B3V4IjTG9GWtZUMLlWOUt2SBNjdXNHTsZla&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=ZGGJ201903007
5,ZGGJ201903008,新高考背景下高校招生录取制度面临的现实困境与改革路径,杜瑛,"通过分析上海、浙江的高考综合改革对高校招生录取带来的考试环节、选拔模式和录取机制层面的重大变化,以及新的招生录取制度在政策实施运行中面临的实践困境,包括高校重构人才培养体系的意识和能力不强、选考政策陷入非理性选择的困境和综合素质评价在高校录取环节无法真正使用等。在新高考背景下,高校要顺应新高考带来的生源结构和育人生态的变化,推动人才培养模式和招生体制机制的变革;建立政府、高校和社会等多元利益主体协同治理的选考引导平衡机制;探索实现招考分离,为综合素质评价的真正使用创设体制基础和机制保障。 ","新高考;
                   招生录取制度;
                   路径;",中国高教研究,2019年03期,1004-3667,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=ZGGJ201903008&uid=,"http://kns.cnki.net/kns/download.aspx?filename=4klRyNDdxsGON9iSXJTd4xEMPdEZWNWbWlGW1kGamBXdsZjcFxkU3oHa0V0NplzNY9WaTZWayNEcU1kdTFXSQFHSq1EVuBTM2p3bZRkcVFmRX9ENGVVdu9kQulUOvZmMTVVZKtWRTBHMaVzKUp1KMlVQ1RWUkx2d&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=ZGGJ201903008
6,KSYJ201903001,高等教育视角下的高考综合改革成效分析与联动机制探索——以西安交通大学为例,郑庆华 訾艳阳 窦小刚 宋红霞 吴梦秋 王西京 李涓,"国家深化考试招生制度改革对高校既是机遇,也是挑战,高校需要以高度的责任感积极主动应对这次改革。通过对比分析高考综合改革前后西安交通大学生源质量的变化,客观地评价了高考综合改革的成效。从志愿填报方式、招生计划编制、育人模式和管理模式等角度分析了高考综合改革给高校带来的影响,结合西安交通大学""双一流""建设的目标和任务,提出高校加强自身内涵建设、完善人才培养体系和建立联动机制等方面的改革思路和具体举措,并对高考综合改革的进一步优化和完善提出几点建议。 ","高考综合改革;
                   综合评价;
                   高等教育;
                   “双一流”建设;",中国考试,2019年03期,1005-8427,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=KSYJ201903001&uid=,"http://kns.cnki.net/kns/download.aspx?filename=KtCS0QWVwdWT04UQ0MTZpRnM1NXZOxUS1Inc0Q3LsFXVx42Q1pWTalFZ0gXOhRUd5Z0Ux40Uwd1d4RlVRZ2LQBTb0EFRndVTn9mWKBTZxQka5YWSygla1g3Zvs2crU1Uzd2UEJGVERTQaR0QsR2aVd0Z5VlaURDM&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=KSYJ201903001
7,HIGH201902004,我国70年高考改革的回顾与反思,项贤明,"中华人民共和国成立之初,在中央政府威望高涨和计划经济体制取得成功的大背景下,我国高考制度与政治经济的发展之间建立了牢固的共轭关系。这种共轭关系奠定了我国高考改革70年历史的基本格局。改革开放以来,经济作为共轭关系中的重要变量对高考改革的影响日益突出。科举文化的消极影响、计划经济的思维惯性、局限于具体考试技术的狭隘思路,是导致当前我国高考改革陷入困境的三大症结。面对新时代、新形势和新任务,我们应当尽快将高考改革的工作重点从考试改革转向高校录取制度改革,努力革除高考自身的科举文化特质,为选拔和培养各行各业创新型人才打开新局面。 ","高考改革;
                   共轭关系;
                   考试制度;
                   录取制度;
                   科举文化;",高等教育研究,2019年02期,1000-4203,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=HIGH201902004&uid=,"http://kns.cnki.net/kns/download.aspx?filename=6lDMIhme1NTNk5mS5Q0bBFDRVJURvJFRmFjR0llTrMkVIFHUNFlZJV1YVZ2KypVQkJVV3lVbvNmTld3QQ5mQEpmVudTeNF2NxVVZKp2UwInQxd0VZdVVplnYhFENBRnc2EUUM52cRVnRPJ3U1NENVV2SR92T6JnT&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=HIGH201902004
8,QHDJ201901011,破除“五唯”  以多元治理的理念深化高考改革,杨九诠,"破除""五唯"",对深化高考改革提出了新的政治要求,也为深化高考改革提供了新的政治机会。""唯一""的反对词是""众多"",任何一种教育评价方式都不能包打天下,多元评价才能对学生的心理建构进行整体刻画。而""众多""的核心是治理,只有加强教育公共治理,才能促进各相关主体步入治理的场域,形成更多的""重叠共识"",不断深化高考改革。专业性与程序性,是高考改革的难点,也是""重叠共识""的基础。高校自主招生是高考改革的关键,在改革的复杂关系中处于支配地位。 ","高考改革;
                   “破五唯”;
                   治理;
                   重叠共识;
                   高校自主招生;",清华大学教育研究,2019年01期,1001-4519,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=QHDJ201901011&uid=,"http://kns.cnki.net/kns/download.aspx?filename=rk1bON3LHpWbSpENTdFORdHRId2R4VXQhVjb0kUdullVZp2UHJ1Uy90RuR0N0gzQvMTMi90VtZEVRR0YwoEeThVNZ1kTmlDd0kkQvQlZaVzKkNUULNFdHVWWxllbMZkZvkmUzQVa3QncGxkZulWUwNTQQJnQxcjS&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=QHDJ201901011
9,SXYB201901001,高考数学新题型试卷质量分析研究,任子朝 陈昂 黄熙彤 赵轩 张敏强,"新高考实行不分文理科的改革,数学科考试的定位、内容和形式以及考试群体和水平都发生了变化,需要研究新的题型、试卷结构和难度要求.根据高考改革的要求,数学科构建了学科化的评价框架,研究设计了新题型试卷结构,命制了新题型试卷,在广东、山东、浙江进行测试,并就新题型试卷的各项指标和新高考数学科改革方向对教师和学生进行了问卷调查和访谈.对统计数据的分析表明新题型试卷的质量较高,能够对考生进行精确区分,试卷结构基本合理,开发的多选题达到测试目的,有利于区分考生.问卷调查和访谈表明,教师和学生认为新题型试卷的题型、题量、难度基本合理.未来数学科高考应该降低试题难度、减少技巧性、增加应用性. ","高考改革;
                   新高考;
                   高考不分文理科;
                   数学新题型试卷;
                   质量分析;",数学教育学报,2019年01期,1004-9894,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=SXYB201901001&uid=,"http://kns.cnki.net/kns/download.aspx?filename=Th3RlJkW0dnMERXYzlVbqdzZOJVQGNTOvpXcsJ3Q1AFOQp1a3UmbFxkcl9kSLVkW3NDbxYWVHlXcPN2UJRnYsh3KBJXaLx2Vrl0b690RVh1ciB3QoZGcDFGTpJFOzZkYaJnTQpXSSR1dtZUcXJDWvN1VId0UxVGa&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=SXYB201901001
10,WGJN201902007,求治兴学的历史影响与时代意义,李威 陈鹏,"尊重知识、尊重人才是遵循求治必须求贤、求贤必须养士、养士必须兴学的古风,亦有伟大时代的新意。在尊重知识、尊重人才的历史呐喊中,1977年恢复高考作为一个教育事件也作为一个政治事件,它改变了众多青年的命运,确立了国家新的发展动力和方向,开启了中国改革开放拨乱反正、由乱入治的新时代。面对以读书无用论和反学校文化为特征的反智主义,""尊重知识,尊重人才""的时代意义愈发凸显,教育作为个体向上流动的常规机制愈发重要,教育和知识作为全球共同利益的认识愈发深入,国家社会坚持创新驱动的战略更加需要知识分子的参与,在知识治理视角下的高考改革必须重视知识内在逻辑和学科融合趋势。 ","求治兴学;
                   高考恢复;
                   尊重知识;
                   知识分子;",全球教育展望,2019年02期,1009-9670,http://kns.cnki.net/KXReader/Detail?dbcode=CJFD&filename=WGJN201902007&uid=,"http://kns.cnki.net/kns/download.aspx?filename=qhFZ1QjY2h3MKhVSLdDOKhHSxZXOsh0L5gWTXd3RqBla402KzdkWXh2NO9Cch9GSywkauZFREJGeyp2cEhEVERndThXUz82RMpVdFVleTdWWIhWVDh1UNtUU3hTeo90ZNJHU0omRltER5MzdMZHMtlTU29iMTNlS&tablename=CJFDLAST2019&dflag=pdfdown
                    ",,http://kns.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=WGJN201902007
