id,journal,year,issue,paper_name,paper_id
1,电化教育研究,2018,No.12,《电化教育研究》2019年度选题计划,DHJY201812002
2,电化教育研究,2018,No.12,2018年第十七届教育技术国际论坛(IFET2018)在华中师范大学召开,DHJY201812001
3,电化教育研究,2018,No.12,欢迎订阅2019年《电化教育研究》,DHJY201812006
4,电化教育研究,2018,No.12,2018年北京大学“MOOC教学设计与数据分析”博士生论坛成功举办,DHJY201812021
5,电化教育研究,2018,No.12,欢迎订阅2019年《中国电化教育》杂志,DHJY201812022
6,电化教育研究,2018,No.12,支持素养教育的“全人发展”教育目标描述模型设计——基于皮亚杰发生认识论哲学内核的演绎,DHJY201812003
7,电化教育研究,2018,No.12,学习科学中核心主题的演化与变迁,DHJY201812004
8,电化教育研究,2018,No.12,返璞归真:寻求教育信息化的原生态与突破口,DHJY201812005
9,电化教育研究,2018,No.12,基于C-SWOT的基础教育信息化发展战略模型构建研究,DHJY201812007
10,电化教育研究,2018,No.12,不同组织形态下“在线学习”品质比较实证研究,DHJY201812008
11,电化教育研究,2018,No.12,中小学生网络学习环境使用时长与心境状态的关系,DHJY201812009
12,电化教育研究,2018,No.12,混合同步网络课堂有效性的实证研究,DHJY201812010
13,电化教育研究,2018,No.12,协作式在线课程中教师角色分析,DHJY201812011
14,电化教育研究,2018,No.12,场景化:学习服务设计的新思路,DHJY201812012
15,电化教育研究,2018,No.12,数字化场馆中的非正式学习影响因素及其模型研究,DHJY201812013
16,电化教育研究,2018,No.12,基于全景视频的空间认知效果实验研究,DHJY201812014
17,电化教育研究,2018,No.12,基于视频论文创作的深度学习——BYOD环境下课堂教学的应用探究,DHJY201812015
18,电化教育研究,2018,No.12,面向混合学习环境的大学生深度学习量表编制,DHJY201812016
19,电化教育研究,2018,No.12,基于POA理论的大学英语翻转课堂教学模式实证研究——以听说教学为例,DHJY201812017
20,电化教育研究,2018,No.12,应用概念图评价小学数学教师学科知识的实证研究,DHJY201812018
21,电化教育研究,2018,No.12,游戏化学习在儿童数字化阅读中的设计研究,DHJY201812019
22,电化教育研究,2018,No.12,基于云服务正反馈的区域教师培训策略研究,DHJY201812020
23,电化教育研究,2018,No.11,“教育信息化引领教育现代化”高峰论坛在华中师范大学召开,DHJY201811002
24,电化教育研究,2018,No.11,"信息技术时代,教育学理论何为?——“信息技术时代的教育学理论重建”学术研讨会将于2018年11月24日—25日在华东师范大学召开",DHJY201811001
25,电化教育研究,2018,No.11,欢迎订阅2019年《电化教育研究》,DHJY201811006
26,电化教育研究,2018,No.11,欢迎订阅2019年《现代远程教育研究》杂志,DHJY201811020
27,电化教育研究,2018,No.11,欢迎订阅2019年《中国电化教育》杂志,DHJY201811021
28,电化教育研究,2018,No.11,DCR视野下问题解决类协作学习设计的一项个案研究,DHJY201811003
29,电化教育研究,2018,No.11,人工智能时代教学行动研究抽样技术的三大基础,DHJY201811004
30,电化教育研究,2018,No.11,教育信息化服务何以满足学校需求——来自学校和企业的调研,DHJY201811005
31,电化教育研究,2018,No.11,MOOCs环境下个性化学习需求预测建模与仿真——系统动力学的视角,DHJY201811007
32,电化教育研究,2018,No.11,cMOOCs学习者的活动参与度、参与模式与学习绩效的实验研究,DHJY201811008
33,电化教育研究,2018,No.11,评价量规设计对慕课同伴互评有效性的影响研究,DHJY201811009
34,电化教育研究,2018,No.11,教育数字徽章:数字化时代的新学习认证,DHJY201811010
35,电化教育研究,2018,No.11,在线开放课程中的交互设计及其应用现状分析,DHJY201811011
36,电化教育研究,2018,No.11,“以用户为中心”的教育数据挖掘应用研究,DHJY201811012
37,电化教育研究,2018,No.11,职业教育名师空间课堂建设与应用研究,DHJY201811013
38,电化教育研究,2018,No.11,面向数学问题解决的合作学习过程模型及应用,DHJY201811014
39,电化教育研究,2018,No.11,基于虚拟情境的儿童观察学习循证研究,DHJY201811015
40,电化教育研究,2018,No.11,混合学习活动中学习者学习投入的研究,DHJY201811016
41,电化教育研究,2018,No.11,教师信息化教学执行力模型研究,DHJY201811017
42,电化教育研究,2018,No.11,未来学校变革:国际经验与案例研究,DHJY201811018
43,电化教育研究,2018,No.11,国外STEM教育研究的热点主题与特点探析,DHJY201811019
44,电化教育研究,2018,No.10,《电化教育研究》再次入编《中文核心期刊要目总览》,DHJY201810002
45,电化教育研究,2018,No.10,第十一届国际认知负荷理论大会在京召开,DHJY201810001
46,电化教育研究,2018,No.10,人工智能赋能教育变革国际论坛即将在京召开,DHJY201810021
47,电化教育研究,2018,No.10,欢迎订阅2019年电化教育研究,DHJY201810022
48,电化教育研究,2018,No.10,《师范生信息化教学能力标准》解读,DHJY201810003
49,电化教育研究,2018,No.10,人工智能时代教育创新发展的方向与路径研究,DHJY201810004
